Media,Strain,Replicate,Timepoint,OD600
MSgg,NCIB3610,8,24,2.29
MSgg,NCIB3610,9,24,2.05
MSgg,NCIB3610,7,48,0.49
MSgg,NCIB3610,8,48,0.56
MSgg,NCIB3610,9,48,0.6
MSgg,NCIB3610,7,72,0.38
MSgg,NCIB3610,8,72,0.36
MSgg,NCIB3610,9,72,0.31
MSgg,NCIB3610,7,96,0.093
MSgg,NCIB3610,8,96,0.2
MSgg,NCIB3610,9,96,0.14
MSgg,NRS5645,7,12,1.68
MSgg,NRS5645,8,12,1.7
MSgg,NRS5645,9,12,1.89
MSgg,NRS5645,7,24,1.79
MSgg,NRS5645,8,24,1.85
MSgg,NRS5645,9,24,1.91
MSgg,NRS5645,7,48,0.51
MSgg,NRS5645,8,48,0.47
MSgg,NRS5645,9,48,0.61
MSgg,NRS5645,7,72,0.51
MSgg,NRS5645,8,72,0.65
MSgg,NRS5645,9,72,0.45
MSgg,NRS5645,7,96,0.2
MSgg,NRS5645,8,96,0.17
MSgg,NRS5645,9,96,0.18
MSgb,NCIB3610,7,12,1.6
MSgb,NCIB3610,8,12,1.46
MSgb,NCIB3610,9,12,1.58
MSgb,NCIB3610,7,24,1.96
MSgb,NCIB3610,8,24,1.89
MSgb,NCIB3610,9,24,1.7
MSgb,NCIB3610,7,48,2.36
MSgb,NCIB3610,8,48,2.26
MSgb,NCIB3610,9,48,2.32
MSgb,NCIB3610,7,72,3.99
MSgb,NCIB3610,8,72,3.28
MSgb,NCIB3610,9,72,3.08
MSgb,NCIB3610,7,96,7.8
MSgb,NCIB3610,8,96,4.93
MSgb,NCIB3610,9,96,4.23
MSgb,NRS5645,7,12,1.7
MSgb,NRS5645,8,12,1.51
MSgb,NRS5645,9,12,1.74
MSgb,NRS5645,7,24,1.81
MSgb,NRS5645,8,24,1.7
MSgb,NRS5645,9,24,1.85
MSgb,NRS5645,7,48,1.7
MSgb,NRS5645,8,48,1.81
MSgb,NRS5645,9,48,1.79
MSgb,NRS5645,7,72,1.41
MSgb,NRS5645,8,72,1.3
MSgb,NRS5645,9,72,1.18
MSgb,NRS5645,7,96,1.7
MSgb,NRS5645,8,96,1.6
MSgb,NRS5645,9,96,1.66
MSbg,NCIB3610,7,12,0.09
MSbg,NCIB3610,8,12,0.06
MSbg,NCIB3610,9,12,0.07
MSbg,NCIB3610,7,24,0.16
MSbg,NCIB3610,8,24,0.18
MSbg,NCIB3610,9,24,0.19
MSbg,NCIB3610,7,48,0.29
MSbg,NCIB3610,8,48,0.49
MSbg,NCIB3610,9,48,0.35
MSbg,NCIB3610,7,72,2.47
MSbg,NCIB3610,8,72,2.87
MSbg,NCIB3610,9,72,2.89
MSbg,NCIB3610,7,96,3.51
MSbg,NCIB3610,8,96,3.34
MSbg,NCIB3610,9,96,3.37
MSbg,NRS5645,7,12,0.02
MSbg,NRS5645,8,12,0.02
MSbg,NRS5645,9,12,0.02
MSbg,NRS5645,7,24,0.02
MSbg,NRS5645,8,24,0.03
MSbg,NRS5645,9,24,0.02
MSbg,NRS5645,7,48,0.02
MSbg,NRS5645,8,48,0.01
MSbg,NRS5645,9,48,0.01
MSbg,NRS5645,7,72,0.02
MSbg,NRS5645,8,72,0.02
MSbg,NRS5645,9,72,0.02
MSbg,NRS5645,7,96,0.03
MSbg,NRS5645,8,96,0.02
MSbg,NRS5645,9,96,0.02
MSbb,NCIB3610,7,12,0.08
MSbb,NCIB3610,8,12,0.08
MSbb,NCIB3610,9,12,0.07
MSbb,NCIB3610,7,24,0.09
MSbb,NCIB3610,8,24,0.07
MSbb,NCIB3610,9,24,0.07
MSbb,NCIB3610,7,48,0.32
MSbb,NCIB3610,8,48,0.24
MSbb,NCIB3610,9,48,0.29
MSbb,NCIB3610,7,72,0.35
MSbb,NCIB3610,8,72,0.26
MSbb,NCIB3610,9,72,0.32
MSbb,NCIB3610,7,96,0.46
MSbb,NCIB3610,8,96,0.53
MSbb,NCIB3610,9,96,0.48
MSbb,NRS5645,7,12,0.04
MSbb,NRS5645,8,12,0.02
MSbb,NRS5645,9,12,0.03
MSbb,NRS5645,7,24,0.04
MSbb,NRS5645,8,24,0.03
MSbb,NRS5645,9,24,0.03
MSbb,NRS5645,7,48,0.04
MSbb,NRS5645,8,48,0.03
MSbb,NRS5645,9,48,0.04
MSbb,NRS5645,7,72,0.04
MSbb,NRS5645,8,72,0.04
MSbb,NRS5645,9,72,0.05
MSbb,NRS5645,7,96,0.04
MSbb,NRS5645,8,96,0.06
MSbb,NRS5645,9,96,0.04
